Education_Level,Income_Category,Card_Category,Months_on_book,amt,latitude,longitude,is_fraud,age,trans_hour,trans_day_of_week,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,business_type_Big Box Retail,business_type_E-commerce,business_type_Electronics,business_type_Food & Beverage,business_type_Gas Station,business_type_Grocery,business_type_Pharmacy/Retail,business_type_Subscription,business_type_Transportation
0,4,0,94,76.8,50.3468,-119.8718,0,55,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0
0,4,0,94,24.23,51.0229,-98.5957,0,55,13,3,0,0,0,1,1,0,0,0,0,0,0,0,0
0,4,0,94,9.9,47.2344,-108.654,0,55,22,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,4,0,94,132.37,49.5977,-120.3405,0,55,22,4,0,0,0,1,0,1,0,0,0,0,0,0,0
4,2,0,13,54.74,46.706,-78.8166,0,39,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,2,0,13,4.48,48.6436,-113.6684,0,39,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0
4,2,0,13,9.43,54.7269,-97.6458,0,39,18,2,0,0,0,1,0,0,0,0,1,0,0,0,0
3,3,0,87,43.83,43.5192,-118.5136,0,40,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,0,87,82.81,48.1461,-101.4864,0,40,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3,3,0,87,56.66,46.5947,-86.0622,0,40,15,4,0,0,0,1,0,0,0,0,0,1,0,0,0
3,3,0,87,56.1,51.7804,-105.4831,0,40,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0
3,3,0,87,83.18,50.914,-92.5797,0,40,17,4,0,0,0,1,0,0,0,0,0,0,0,1,0
3,3,0,87,108.66,49.5843,-80.2485,0,40,21,3,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2,0,53,102.48,47.724,-85.432,0,74,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
-1,-1,1,62,246.35,45.7458,-113.9213,0,44,13,4,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,-1,1,62,130.75,46.9755,-110.6466,0,44,23,4,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,-1,1,62,98.43,43.1275,-117.2377,0,44,9,5,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4,0,32,74.34,45.7446,-80.3275,0,60,13,5,1,0,0,0,1,0,0,0,0,0,0,0,0
1,4,0,32,2.55,54.1212,-70.1775,0,60,13,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1,4,0,32,29.72,45.9777,-87.2984,0,60,16,5,1,0,0,0,0,0,0,0,1,0,0,0,0
2,3,0,20,69.48,50.8396,-97.769,0,25,11,4,0,1,0,0,0,0,0,0,1,0,0,0,0
2,3,0,20,3.7,46.7323,-97.2841,0,25,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,0,20,46.87,46.8948,-70.9729,0,25,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2,3,0,19,60.91,43.0794,-113.6873,0,42,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,13,75.67,48.7943,-111.0761,0,63,14,6,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,13,36.26,53.8358,-121.2406,0,63,18,4,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,13,44.13,43.8235,-119.5043,0,63,5,3,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,13,57.85,50.2599,-110.5077,0,63,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,13,102.05,52.9357,-61.5222,0,63,10,6,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,13,24.64,51.6829,-65.215,0,63,22,6,0,0,0,1,0,0,0,0,0,0,0,1,0
3,-1,0,29,212.96,49.7329,-109.9114,0,78,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3,-1,0,29,44.98,47.8982,-76.7172,0,78,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,-1,0,29,62.06,52.9213,-64.3294,0,78,23,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3,-1,0,29,97.15,44.4582,-64.947,0,78,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,3,0,59,273.57,47.4262,-105.8733,0,42,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,0,59,134.04,45.9104,-102.9031,0,42,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,0,59,33.37,47.334,-119.906,0,42,7,4,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,0,2,96,33.36,51.5335,-85.0067,0,31,13,2,0,0,0,1,0,1,0,0,0,0,0,0,0
-1,0,2,96,118.02,54.3766,-66.5558,0,31,8,3,0,0,0,1,0,0,1,0,0,0,0,0,0
-1,0,2,96,28.3,49.8025,-83.2809,0,31,21,6,0,0,0,1,0,0,0,0,1,0,0,0,0
-1,0,2,96,48.59,44.8872,-83.5093,0,31,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0
-1,0,2,96,14.74,43.0228,-83.733,0,31,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,0,2,96,97.54,43.1241,-62.2006,0,31,6,4,0,0,0,1,0,0,1,0,0,0,0,0,0
-1,0,2,96,125.2,43.0535,-109.6315,0,31,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1,0,2,96,100.1,47.7184,-105.2663,0,31,15,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,1,2,71,26.23,50.5027,-95.0,0,32,13,4,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,2,71,47.72,49.1522,-112.3668,0,32,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0
4,1,2,71,162.99,54.8227,-99.2438,0,32,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,2,71,51.19,50.0693,-121.925,0,32,13,6,0,0,0,1,0,0,0,0,0,0,0,1,0
4,1,2,71,145.54,51.3015,-119.7032,0,32,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
4,1,2,71,113.48,46.0241,-89.9977,0,32,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0
4,0,3,99,89.31,44.2497,-99.886,0,76,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4,0,3,99,29.62,50.4363,-89.2887,0,76,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0
4,0,3,99,11.81,51.4785,-100.3655,0,76,6,3,0,1,0,0,0,0,1,0,0,0,0,0,0
4,0,3,99,7.66,47.9458,-94.5831,0,76,18,6,0,1,0,0,0,0,0,1,0,0,0,0,0
4,0,3,99,49.01,45.4599,-88.8382,0,76,18,5,0,1,0,0,0,0,0,0,0,1,0,0,0
4,0,3,99,154.84,47.6693,-60.62,0,76,16,5,0,1,0,0,1,0,0,0,0,0,0,0,0
4,0,3,99,33.66,44.5197,-122.0652,0,76,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,2,1,46,9.31,45.9758,-87.2851,0,17,17,6,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,2,1,46,23.08,48.5343,-84.0588,0,17,13,4,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,2,1,46,83.37,46.2541,-101.1238,0,17,14,6,1,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,18,121.6,51.0455,-119.196,0,52,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1,0,18,151.99,44.2736,-73.9822,0,51,15,5,0,0,1,0,0,0,0,0,0,0,0,1,0
4,1,0,18,27.85,49.1672,-60.7579,0,52,23,3,0,0,1,0,0,0,0,0,1,0,0,0,0
4,1,0,18,60.74,49.5682,-67.27,0,52,22,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,-1,0,110,77.8,45.4021,-84.7649,0,25,22,3,0,1,0,0,0,0,0,0,1,0,0,0,0
